/*
 Contributor: Antoine Hurkmans
 Assets URI: https://dl.dropbox.com/u/397845/wordpressfootballpool/fifa-world-cup-2014.zip
*/
play_date;home_team;away_team;stadium;match_type;home_team_photo;home_team_flag;home_team_link;home_team_group;home_team_group_order;home_team_is_real;away_team_photo;away_team_flag;away_team_link;away_team_group;away_team_group_order;away_team_is_real;stadium_photo
"2014-06-12 20:00:00";Brazil;Croatia;"Arena De Sao Paulo, Sao Paulo";"Group Stage";brazil.jpg;brazil.png;http://www.fifa.com/worldcup/teams/team=43924/index.html;"Group A";1;1;croatia.jpg;croatia.png;http://www.fifa.com/worldcup/teams/team=43938/index.html;"Group A";2;1;arena-de-sao-paulo.jpg
"2014-06-13 16:00:00";Mexico;Cameroon;"Estadio Das Dunas, Natal";"Group Stage";mexico.jpg;mexico.png;http://www.fifa.com/worldcup/teams/team=43911/index.html;"Group A";3;1;cameroon.jpg;cameroon.png;http://www.fifa.com/worldcup/teams/team=43849/index.html;"Group A";4;1;estadio-das-dunas.jpg
"2014-06-13 19:00:00";Spain;Netherlands;"Arena Fonte Nova, Salvador";"Group Stage";spain.jpg;spain.png;http://www.fifa.com/worldcup/teams/team=43969/index.html;"Group B";1;1;netherlands.jpg;netherlands.png;http://www.fifa.com/worldcup/teams/team=43960/index.html;"Group B";2;1;arena-fonte-nova.jpg
"2014-06-13 22:00:00";Chile;Australia;"Arena Pantanal, Cuiaba";"Group Stage";chile.jpg;chile.png;http://www.fifa.com/worldcup/teams/team=43925/index.html;"Group B";3;1;australia.jpg;australia.png;http://www.fifa.com/worldcup/teams/team=43976/index.html;"Group B";4;1;arena-pantanal.jpg
"2014-06-14 16:00:00";Colombia;Greece;"Estadio Mineirao, Belo Horizonte";"Group Stage";colombia.jpg;colombia.png;http://www.fifa.com/worldcup/teams/team=43926/index.html;"Group C";1;1;greece.jpg;greece.png;http://www.fifa.com/worldcup/teams/team=43949/index.html;"Group C";2;1;estadio-mineirao.jpg
"2014-06-14 19:00:00";Uruguay;"Costa Rica";"Estadio Castelao, Fortaleza";"Group Stage";uruguay.jpg;uruguay.png;http://www.fifa.com/worldcup/teams/team=43930/index.html;"Group D";1;1;costa-rica.jpg;costa-rica.png;http://www.fifa.com/worldcup/teams/team=43901/index.html;"Group D";2;1;estadio-castelao.jpg
"2014-06-14 22:00:00";England;Italy;"Arena Amazonia, Manaus";"Group Stage";england.jpg;england.png;http://www.fifa.com/worldcup/teams/team=43942/index.html;"Group D";3;1;italy.jpg;italy.png;http://www.fifa.com/worldcup/teams/team=43954/index.html;"Group D";4;1;arena-amazonia.jpg
"2014-06-15 01:00:00";"Côte d'Ivoire";Japan;"Arena Pernambuco, Recife";"Group Stage";côte-d-ivoire.jpg;côte-d-ivoire.png;http://www.fifa.com/worldcup/teams/team=43854/index.html;"Group C";3;1;japan.jpg;japan.png;http://www.fifa.com/worldcup/teams/team=43819/index.html;"Group C";4;1;arena-pernambuco.jpg
"2014-06-15 16:00:00";Switzerland;Ecuador;"Estadio Nacional, Brasilia";"Group Stage";switzerland.jpg;switzerland.png;http://www.fifa.com/worldcup/teams/team=43971/index.html;"Group E";1;1;ecuador.jpg;ecuador.png;http://www.fifa.com/worldcup/teams/team=43927/index.html;"Group E";2;1;estadio-nacional.jpg
"2014-06-15 19:00:00";France;Honduras;"Estadio Beira-Rio, Porto Alegre";"Group Stage";france.jpg;france.png;http://www.fifa.com/worldcup/teams/team=43946/index.html;"Group E";3;1;honduras.jpg;honduras.png;http://www.fifa.com/worldcup/teams/team=43909/index.html;"Group E";4;1;estadio-beira-rio.jpg
